gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.3 or ARB_vertex_attrib_binding
gl ext spec\OVR\OVR_multiview.txt                                  : Interactions with OpenGL 4.3, ARB_multi_draw_indirect, and EXT_multi_draw_indirect.
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.4 or ARB_buffer_storage
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.4 or ARB_clear_texture
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.4 or ARB_multi_bind
gl ext spec\ARB\ARB_direct_state_access.txt                        : Interactions with OpenGL 4.4 or ARB_query_buffer_object
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL 4.5 and later
gl ext spec\OVR\OVR_multiview.txt                                  : Interactions with OpenGL 4.5, ARB_direct_state_access, and EXT_direct_state_access
gl ext spec\EXT\EXT_texture_sRGB_decode.txt                        : Interactions with OpenGL ES
gl ext spec\EXT\EXT_debug_label.txt                                : Interactions with OpenGL ES 1.1 and OES_framebuffer_object
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL ES 2.0
gl ext spec\IMG\IMG_texture_compression_pvrtc.txt                  : Interactions with OpenGL ES 2.0 and APPLE_texture_2D_limited_npot
gl ext spec\EXT\EXT_sRGB_write_control.txt                         : Interactions with OpenGL ES 2.0 and EXT_sRGB:
gl ext spec\EXT\EXT_compressed_ETC1_RGB8_sub_texture.txt           : Interactions with OpenGL ES 3.0
gl ext spec\NV\NV_sample_mask_override_coverage.txt                : Interactions with OpenGL ES 3.0 and 3.1
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL ES 3.0 and later
gl ext spec\EXT\EXT_debug_label.txt                                : Interactions with OpenGL ES 3.0 and OpenGL
gl ext spec\ARB\ARB_sample_locations.txt                           : Interactions with OpenGL ES 3.1
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL ES 3.1 and later
gl ext spec\NV\NV_mesh_shader.txt                                  : Interactions with OpenGL ES 3.2
gl ext spec\EXT\EXT_shader_framebuffer_fetch.txt                   : Interactions with OpenGL ES 3.2 and later
gl ext spec\OVR\OVR_multiview.txt                                  : Interactions with OpenGL ES 3.2, OpenGL 3.2, EXT_geometry_shader, OES_geometry_shader, and ARB_geometry_shader4.
gl ext spec\OVR\OVR_multiview.txt                                  : Interactions with OpenGL ES 3.2, OpenGL 4.0, EXT_tessellation_shader, OES_tessellation_shader and ARB_tessellation_shader.
gl ext spec\OVR\OVR_multiview.txt                                  : Interactions with OpenGL ES 3.2, OpenGL 4.3, EXT_geometry_shader, OES_geometry_shader, and ARB_fragment_layer_viewport
gl ext spec\NV\NV_conservative_raster.txt                          : Interactions with OpenGL ES and Core Profiles
gl ext spec\NV\NV_draw_texture.txt                                 : Interactions with OpenGL ES and EXT_shadow_samplers
gl ext spec\NV\NV_gpu_shader5.txt                                  : Interactions with OpenGL ES Shading Language 3.10, revision 3
gl ext spec\NV\NV_fbo_color_attachments.txt                        : Interactions with other extensions
gl ext spec\OES\OES_texture_compression_astc.txt                   : Interactions with Other Extensions
gl ext spec\NV\NV_mesh_shader.txt                                  : Interactions with OVR_multiview
gl ext spec\EXT\EXT_multiview_tessellation_geometry_shader.txt     : Interactions with OVR_multiview2:
gl ext spec\PGI\PGI_vertex_hints.txt                               : Interactions with PGI_misc_hints
gl ext spec\PGI\PGI_misc_hints.txt                                 : Interactions with PGI_vertex_hints
gl ext spec\ARB\ARB_draw_buffers.txt                               : Interactions with possible future extensions
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Interactions with SPV_KHR_storage_buffer_storage_class:
gl ext spec\KHR\KHR_texture_compression_astc_hdr.txt               : Interactions with texture cube map arrays
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with the ARB_texture_rectangle specification
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with the ARB_vertex_program specification
gl ext spec\ARB\ARB_texture_filter_minmax.txt                      : Interactions with the compatibility profile
gl ext spec\ARB\ARB_timer_query.txt                                : Interactions with the Compatibility Profile
gl ext spec\EXT\EXT_window_rectangles.txt                          : Interactions with the EXT_direct_state_access specification
gl ext spec\EXT\EXT_window_rectangles.txt                          : Interactions with the EXT_draw_buffers2 specification
gl ext spec\EXT\EXT_window_rectangles.txt                          : Interactions with the EXT_multiview_draw_buffers
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with the EXT_texture_buffer_object specification
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with the NV_explicit_multisample specification
gl ext spec\EXT\EXT_direct_state_access.txt                        : Interactions with the NV_texture_cube_map_array specification
gl ext spec\ARB\ARB_ES3_compatibility.txt                          : Interactions with the OpenGL 4.2 Core Profile
gl ext spec\EXT\EXT_texture_format_BGRA8888.txt                    : Interactions with the OpenGL ES 2.0 specification
gl ext spec\EXT\EXT_texture_compression_rgtc.txt                   : Interactions with the OpenGL ES 3.2 Specification
gl ext spec\AMD\WGL_AMD_gpu_association.txt                        : Interactions with WGL_ARB_create_context
gl ext spec\ARB\ARB_robustness.txt                                 : Interactions with WGL_ARB_create_context_robustness
gl ext spec\AMD\WGL_AMD_gpu_association.txt                        : Interactions with WGL_ARB_make_current_read
gl ext spec\NV\WGL_NV_gpu_affinity.txt                             : Interactions with WGL_ARB_pbuffer
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : INVALID_VALUE is generated if glTexScissorFuncINTEL() is called with lfunc or hfunc set to any other value other than [GL_GREATER, GL_GEQUAL, or GL_EQUAL] and [GL_LESS, GL_LEQUAL or GL_EQUAL] respectively.
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : INVALID_VALUE is generated if glTexScissorINTEL() is called with thigh < 0.0 or thigh > 1.0
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : INVALID_VALUE is generated if glTexScissorINTEL() is called with tlow < 0.0 or tlow > 1.0
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : INVALID_VALUE is generated if glTexScissorINTEL() is called with tlow > thigh.
gl ext spec\3DFX\3DFX_multisample.txt                              : IP Status
gl ext spec\NV\NV_query_resource_tag.txt                           : Issue:
gl ext spec\3DFX\3DFX_multisample.txt                              : Issues
gl ext spec\ARB\WGL_ARB_pixel_format.txt                           : Issues and Notes
gl ext spec\EXT\EXT_disjoint_timer_query.txt                       : Issues from ARB_timer_query
gl ext spec\ARB\ARB_timer_query.txt                                : Issues from EXT_timer_query
gl ext spec\APPLE\APPLE_float_pixels.txt                           : Issues:
gl ext spec\OES\OES_byte_coordinates.txt                           : Jul 11, 2003 David Blythe Changed to use OES suffixes Jul 12, 2003 David Blythe Added note about GLX protocol
gl ext spec\OES\OES_query_matrix.txt                               : Jul 12, 2003 David Blythe Add GLX protocol note
gl ext spec\ARB\ARB_shader_precision.txt                           : keep backward compatibility, this implies vendors finding out what precisions they do have. Possibly also either new built-ins or modes are needed to access hardware's ability to deliver the more precise versions of what is found.
gl ext spec\EXT\EXT_YUV_target.txt                                 : Known Quality Issues
gl ext spec\SGI\akeley_future_extensions.txt                       : Kurt Akeley List of potential OpenGL extensions
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : lfunc can be any of GL_GREATER, GL_GEQUAL, or GL_EQUAL while lfunc can be any of GL_LESS, GL_LEQUAL or GL_EQUAL. These values enable one to handle boundary cases that involve adjacent regions overlapping.
gl ext spec\EXT\EXT_framebuffer_multisample.txt                    : Modification to 4.4.2.1 (Renderbuffer Objects)
gl ext spec\EXT\EXT_framebuffer_multisample.txt                    : Modification to 4.4.4.2 (Framebuffer Completeness)
gl ext spec\EXT\EXT_framebuffer_multisample.txt                    : Modification to 6.1.3 (Enumerated Queries):
gl ext spec\NV\NV_alpha_to_coverage_dither_control.txt             : Modification to Chapter 17.3.3 of the OpenGL 4.4 (Core Profile) Specification
gl ext spec\EXT\EXT_texture_cube_map_array.txt                     : Modification to the OpenGL ES Shading Language Specification, Version 3.10
gl ext spec\ARB\ARB_texture_cube_map_array.txt                     : Modification to the OpenGL shading Language Specification, Version 1.30.08
gl ext spec\EXT\EXT_texture_shadow_lod.txt                         : Modification to the OpenGL Shading Language Specification, Version 4.60.5
gl ext spec\EXT\EXT_multiview_texture_multisample.txt              : Modifications to all sections added and/or modified by OVR_multiview
gl ext spec\ARB\ARB_spirv_extensions.txt                           : Modifications to Appendix A.spv of the OpenGL 4.5 (Core Profile) Specification
gl ext spec\EXT\EXT_base_instance.txt                              : Modifications to Chapter 10 of the OpenGL ES 3.1 Specification (Vertex Specification and Drawing Commands)
gl ext spec\ARB\ARB_gl_spirv.txt                                   : Modifications to Chapter 11 of the OpenGL 4.5 (Core Profile) Specification
gl ext spec\OVR\OVR_multiview.txt                                  : Modifications to Chapter 11 of the OpenGL ES 3.2 Specification (Programmable Vertex Processing
gl ext spec\EXT\EXT_multiview_tessellation_geometry_shader.txt     : Modifications to Chapter 11 of the OpenGL ES 3.2 Specification as well as Chapter 11 of the OpenGL 4.6 Specification (Programmable Vertex Processing)
gl ext spec\ARB\ARB_gl_spirv.txt                                   : Modifications to Chapter 15 of the OpenGL 4.5 (Core Profile) Specification
